id_UI,nome_UI, acronimo_UI, morada_UI
1, Centro de Ciências do Mar e do Ambiente,CCMA, Lisboa
2, Centro de Estudos Geográficos, CEG, Lisboa
3, Centro de Estudos Recursos Naturais, Ambiente e Sociedade, CERNAS, Coimbra
4, Centro de Geociências da Universidade de Coimbra, CGeo, Coimbra
5, Centro de Investigação da Terra e do Espaço da Universidade de Coimbra, CITEUC, Coimbra
6, Centro de Pesquisa em Ciências Geoespaciais, CICGE, Porto
7, Centro de Recursos Naturais e Ambiente, CERENA, Lisboa
8, GeoBioCiências, GeoTecnologias e GeoEngenharia, GeoBioTec, Lisboa
9, Instituto de Ciências da Terra, ICT, Lisboa
10, Instituto de Dom Luiz, IDL, Lisboa
11, Laboratório de Instrumentação e Física Experimental de Partículas, LIP, Lisboa 